text,url,description,parent_section,link_type,page_title
Hindi,https://ncert.nic.in/pdf/notice/RA_2024_Hindi.pdf,,,internal,NCERT
Advertisement,https://ncert.nic.in/pdf/notice/Newspaper_Cutting_2024.pdf,,,internal,NCERT
Apply Online,https://forms.ncert.gov.in/ra,,,external,NCERT
NCERT Doctoral Fellowship 2024 - English,https://ncert.nic.in/pdf/notice/NDF_2024_English_New.pdf,,,internal,NCERT
Hindi,https://ncert.nic.in/pdf/notice/NDF_2024_Hindi_New.pdf,,,internal,NCERT
Advertisement,https://ncert.nic.in/pdf/notice/NDF_Newspaper_Cutting_2024.pdf,,,internal,NCERT
Apply Online,https://forms.ncert.gov.in/df,,,external,NCERT
National Seminar on Transformative Pedagogy: Harnessing the Power of Artificial Intelligence (NSTP-2025) - Brochure,https://ncert.nic.in/pdf/announcement/notices/NSTP2025.pdf,,,internal,NCERT
National Conference on Mathematics Education - Brochure,https://ncert.nic.in/desm/pdf/National_Conference_ Mathematics_Education-2024.pdf,,,internal,NCERT
Corrigendum,https://ncert.nic.in/desm/pdf/RSBVP&RBVP52_Corrigendum.pdf,,,internal,NCERT
"Event Poster - Talk by Professor Ianthi Maria on Multilingual Education on 18th November, 2024",https://ncert.nic.in/pdf/announcement/notices/DEL_Event_Talk_18th-Nov-2024.png,,,internal,NCERT
"Admission Notification into M A Education Technology-RIE, Nellore",https://ncert.nic.in/pdf/announcement/notices/Education_Technology_Brochure_Final_06_11.pdf,,,internal,NCERT
National Conference Brochure on 'Innovative Practices and Experiences in Career Development of School Students',https://ncert.nic.in/pdf/announcement/notices/National_Conference_04_11.pdf,,,internal,NCERT
"Order regarding the Prof. M.V. Srinivasan(DESS), NCERT",https://ncert.nic.in/pdf/announcement/notices/ORDER_Regrading_PD_HEAD_23_10_24.pdf,,,internal,NCERT
"Notification regarding Conducting a Capacity Building Programme on Preventive Vigilance in NCERT as a prelude to Vigilance Awareness Week,2024",https://ncert.nic.in/pdf/announcement/notices/VAW_CBPPV_NCERT_127-152_04_10_24.pdf,,,internal,NCERT
"Order regarding the Dr. A.K Wazalwar,Professor(DESM), NCERT",https://ncert.nic.in/pdf/announcement/notices/Order_5218_DESM_04_10_24.pdf,,,internal,NCERT
"Invitation for the National Conference on ""Recent advances in Interdisciplinary Science""",https://ncert.nic.in/pdf/announcement/notices/RAIS_RIE_03_10_24.pdf,,,internal,NCERT
Notification regarding new tarrif rates for NIE-Guest House & PG Hostel,https://ncert.nic.in/pdf/announcement/notices/Revised_Notification_12429-2442_19_09_24.pdf,,,internal,NCERT
Order regarding the Dr. Pratush Kumar Mandal,https://ncert.nic.in/pdf/announcement/notices/Order_DEAN_135_13_09_24.pdf,,,internal,NCERT
Order regarding the promotion of Dr. Bharti & Dr. N.C. Ohja,https://ncert.nic.in/pdf/announcement/notices/Order_dated_11-09.pdf,,,internal,NCERT
"Notification regarding amended RRs for the post of HEAD, PUBLICATION DIVISION",https://ncert.nic.in/pdf/announcement/notices/Notification_amended_RRs_Head-Publication Division.pdf,,,internal,NCERT
National Conference on Mathematics Education - Brochure,https://ncert.nic.in/desm/pdf/National_Conference_ Mathematics_Education-2024.pdf,,,internal,NCERT
National Seminar on Indian Knowledge Tradition and its Continuity	(Bhartiya Gyan Prarampara Ka Satatya) - Brochure,https://ncert.nic.in/del/pdf/Brochure_Bhartiya_Gyan_Prarampara-Ka_Satatya.pdf,,,internal,NCERT
Message from Hon’ble President on the occasion of Teachers’ Day 2024,https://ncert.nic.in/pdf/announcement/notices/Hon'ble_President_2024.pdf,,,internal,NCERT
Message from Hon’ble Prime Minister on the occasion of Teachers’ Day 2024,https://ncert.nic.in/pdf/announcement/notices/Hon'ble_Prime_Minister_2024.pdf,,,internal,NCERT
Message from Hon’ble Shiksha Mantri on the occasion of Teachers’ Day 2024,https://ncert.nic.in/pdf/announcement/notices/Hon'ble_SM_2024.pdf,,,internal,NCERT
Message from Hon’ble MoS(JC) on the occasion of Teachers’ Day 2024,https://ncert.nic.in/pdf/announcement/notices/Hon'ble_MoS_2024.pdf,,,internal,NCERT
"Order regarding Dr. Ashita Raveendran, Associate Professor,  PMD,  NCERT",https://ncert.nic.in/pdf/announcement/notices/ORDER_DrAshitaRaveendran_445_514_14_08_24.pdf,,,internal,NCERT
Clarification on misleading news item regarding NCERT Textbooks,https://ncert.nic.in/pdf/announcement/notices/PIB2032103_10_07_2024.pdf,,,internal,NCERT
Order regarding the promotion of Ms. Anupma Thukral,https://ncert.nic.in/pdf/announcement/notices/ORDER_REG_ANUPMA_THUKRAL_DPC_3174_3183.pdf,,,internal,NCERT
Order regarding Ms. Poonam Saini,https://ncert.nic.in/pdf/announcement/notices/ORDER_REG_POONAM_SAINI_LDD_3162_3173.pdf,,,internal,NCERT
Order regarding Ms. Pranshu Dubey,https://ncert.nic.in/pdf/announcement/notices/ORDER_REG_PRANSHU_DUBEY_LDD_3150_3161.pdf,,,internal,NCERT
Public Advisory for NCERT Textbooks,https://ncert.nic.in/pdf/announcement/notices/Public_Advisory_NCERT_Textbooks.pdf,,,internal,NCERT
Link,https://pgportal.gov.in/,,,external,NCERT
Circular Regarding Promotion Under CAS,https://ncert.nic.in/pdf/announcement/notices/Circular_CAS_REG_25_06_2024.pdf,,,internal,NCERT
Order regarding Sh. Amitabh kumar,https://ncert.nic.in/pdf/announcement/notices/Oder_2036_2047.pdf,,,internal,NCERT
Order regarding Prof. Shireesh Pal Singh,https://ncert.nic.in/pdf/announcement/notices/CIET_1603_1616.pdf,,,internal,NCERT
Order regarding the academic/ancilliary staff of CIET,https://ncert.nic.in/pdf/announcement/notices/CIET_1617_1632.pdf,,,internal,NCERT
Clarification related with Class 6 Social Science Textbook,https://ncert.nic.in/pdf/announcement/notices/Clarification_Class-6_Social_Science-Textbook.pdf,,,internal,NCERT
Notice regarding the Fake Advertisements,https://ncert.nic.in/pdf/announcement/notices/Notice_Fake_Advt_NCERT.pdf,,,internal,NCERT
Notification regarding the Submission of Research Paper(s)/Thematic paper(s) in any Seminar/Conference/Workshop/Symposium,https://ncert.nic.in/pdf/announcement/notices/DER_12-04_363.pdf,,,internal,NCERT
Order regarding Ms. Ritu Bora,https://ncert.nic.in/pdf/announcement/notices/order_es_767-778.pdf,,,internal,NCERT
Order regarding Ms. Vimlesh Chaudhary,https://ncert.nic.in/pdf/announcement/notices/order_es_755-766.pdf,,,internal,NCERT
Advisory regarding the unauthorized (fake) appointment letters and the NCERT LOGO are being issued/misused by the scammers,https://ncert.nic.in/pdf/announcement/notices/notice_v&l_471_534.pdf,,,internal,NCERT
Press Release - Copyright Infringement in Educational Materials developed by NCERT,https://ncert.nic.in/pdf/announcement/notices/Press_Release_Copyright_Infringement-NCERT.pdf,,,internal,NCERT
Notification regarding the NCERT follows UGC guidelines for the recruitment and promotion to its academic staff,https://ncert.nic.in/pdf/announcement/notices/Notification_UGC_05_04_2024.pdf,,,internal,NCERT
Circular related to all the leave cases pertaining to faculty members,https://ncert.nic.in/pdf/announcement/notices/circular_1487-1489.pdf,,,internal,NCERT
Order regarding Smt. Poonam Sharma,https://ncert.nic.in/pdf/announcement/notices/order-E2-4661.pdf,,,internal,NCERT
"Order regarding Smt. Gayatri Pokhriyal,",https://ncert.nic.in/pdf/announcement/notices/order_E2-3245.pdf,,,internal,NCERT
Letter regarding the Availability of NCERT school textbooks,https://ncert.nic.in/pdf/announcement/notices/Textbooks_Availability_Letter.pdf,,,internal,NCERT
Notification regarding the Revision in minimum qualifying service required for promotion as per the 7th CPC recommendations.,https://ncert.nic.in/pdf/announcement/notices/Notification_promotion_7-CPC_recommendation.pdf,,,internal,NCERT
Order regarding Composition of Committee Against Sexual Harassment (CASH),https://ncert.nic.in/pdf/announcement/notices/order_usha_27_3_2024.pdf,,,internal,NCERT
Order regarding Sh. Bateilang Lyngdoh,https://ncert.nic.in/pdf/announcement/notices/order55_567.pdf,,,internal,NCERT
Extension of credit/cashless facility to the NCERT's retired/serving employees dated  04.03.2024,https://ncert.nic.in/pdf/announcement/notices/notice694_701.pdf,,,internal,NCERT
Circular regarding - Settlement of advances,https://ncert.nic.in/pdf/announcement/notices/circular_cpa_318.pdf,,,internal,NCERT
"Central Civil Service (Revised Pay) Rules, 2008 - Section II of the Part 'A' of the First Schedule thereto-entry pay for direct recruits appointed on or after 1.1.2006 and pay fixation in the case of persons other than such direct recruits.",https://ncert.nic.in/pdf/announcement/notices/CCS(RP)_Rules_22-02-24.pdf,,,internal,NCERT
Order regarding Prof. Prabhat kumar mishra,https://ncert.nic.in/pdf/announcement/notices/feb26_2_2024.pdf,,,internal,NCERT
Extension of credit/cashless facility to the NCERT's retired/serving employees dated reference to 07.02.2024,https://ncert.nic.in/pdf/announcement/notices/cghs_notice_7_2_24.pdf,,,internal,NCERT
Extension of credit/cashless facility to the NCERT's retired/serving employees dated reference to 02.02.2024,https://ncert.nic.in/pdf/announcement/notices/cghs_notice_2_2_24.pdf,,,internal,NCERT
Order regarding Sh. Eltherius Lugun,https://ncert.nic.in/pdf/announcement/notices/abm_379_391.pdf,,,internal,NCERT
Order regarding Sh. Bhoopendra singh,https://ncert.nic.in/pdf/announcement/notices/abm_366_378.pdf,,,internal,NCERT
Order regarding Sh. Rajeev Kumar Dwivedi,https://ncert.nic.in/pdf/announcement/notices/bmp_07_02_2024.pdf,,,internal,NCERT
"Order regarding the Half Day Closing (till 2:30 P.M.) of Central Government Offices, Central Institutions and Central Industrial Establishments on 22nd January, 2024",https://ncert.nic.in/pdf/announcement/notices/Order_171-234_EC.pdf,,,internal,NCERT
"Order regarding Sh. Amitabh Kumar, Business Manager",https://ncert.nic.in/pdf/announcement/notices/CBO_Amitabh_kumar.pdf,,,internal,NCERT
Advertisement for children's literature- English,https://ncert.nic.in/pdf/announcement/notices/eng_adv_for_foundational_preparatory.pdf,,,internal,NCERT
Hindi,https://ncert.nic.in/pdf/announcement/notices/hindi_adv_for_foundational_preparatory.pdf,,,internal,NCERT
Corrigendum (Date Extended upto 31.01.2024),https://ncert.nic.in/pdf/announcement/notices/Corrigendum_adv_for_foundational_preparatory.pdf,,,internal,NCERT
"Order regarding Dr. Mohd. Faruq Ansari, Professor, DEL",https://ncert.nic.in/pdf/announcement/notices/Order_Mohd-Faruq-Ansari_DEL_12-01.pdf,,,internal,NCERT
"Order regarding Prof. S.C. Chauhan, DEGSN",https://ncert.nic.in/pdf/announcement/notices/Order_SCChauhan_DEGSN_12-01.pdf,,,internal,NCERT
"Order regarding Prof. Sunita Farkya, Head, DESM",https://ncert.nic.in/pdf/announcement/notices/Order_Sunita-Farkya_DESM_12-01.pdf,,,internal,NCERT
"Order regarding Dr. Vinay Kumar Singh, Professor, DEGSN",https://ncert.nic.in/pdf/announcement/notices/Order_Vinay-Kumr-Singh_DEGSN_12-01.pdf,,,internal,NCERT
"Notification regarding the charge to the post of Secretary, NCERT",https://ncert.nic.in/pdf/announcement/notices/es_1801_1820.pdf,,,internal,NCERT
"Order regarding the Prof. B. Barthakur, RIE, Ajmer",https://ncert.nic.in/pdf/announcement/notices/order_barthakur_5_1_2024.pdf,,,internal,NCERT
"Order regarding the Prof. Manasi Goswami, RIE, Bhubaneswar",https://ncert.nic.in/pdf/announcement/notices/order_manasi_5_1_2024.pdf,,,internal,NCERT
Circular regarding the Execution of 100 % file work through E-Office in NCERT & its Constituent Units,https://ncert.nic.in/pdf/announcement/notices/Eoffice-Circular_dated_03-01-2024.pdf,,,internal,NCERT
Content for Digital Jaadui Pitara (DJP) from State Governments/Union Territories and Non-Governmental Organisations (NGOs),https://ncert.nic.in/pdf/announcement/Digital_Jaadui_Pitara_(DJP).pdf,,,internal,NCERT
Order regarding the promotion of Sh. Sanjay Sharma,https://ncert.nic.in/pdf/announcement/notices/order_sanjay_sharma_assistant.pdf,,,internal,NCERT
Order regarding the promotion of Ms. Seema Sharma,https://ncert.nic.in/pdf/announcement/notices/order_seema_sharma.pdf,,,internal,NCERT
Order regarding the promotion of Sh. Ved Prakash,https://ncert.nic.in/pdf/announcement/notices/order_ved-prakash-foreman.pdf,,,internal,NCERT
Order regarding the promotion of Sh. Sunder Lal,https://ncert.nic.in/pdf/announcement/notices/order_sunder_lal.pdf,,,internal,NCERT
Modification to order no. 1-3/07/E-III(vol.-I),https://ncert.nic.in/pdf/announcement/notices/order_ved_prakash_TO.pdf,,,internal,NCERT
Seeking contribution of content for Digital Jaadui Pitara,https://ncert.nic.in/pdf/announcement/notices/digitaljaaduipitara_26_12_2023.pdf,,,internal,NCERT
Notice regarding the dissemination of Indian Sign language course in self learning mode,https://ncert.nic.in/pdf/announcement/notices/islrtc_15_12_2023.pdf,,,internal,NCERT
Notification regarding the empanelment contract for supply of educational school kits,https://ncert.nic.in/pdf/announcement/notices/DEK_school_kits_15_12_2023.pdf,,,internal,NCERT
Notification regarding the Observation of Punctuality and judicious use of electricity by all staff of NCERT,https://ncert.nic.in/pdf/announcement/notices/notice_ec_762_825.pdf,,,internal,NCERT
"Circulaton of Minutes of 58th Meeting of the General Council of NCERT held on 04th, July 2023 - Follow up action regarding - (English)",https://ncert.nic.in/pdf/announcement/notices/Circular_58th-Meeting_of-the-General-Council_16-11-2023en.pdf,,,internal,NCERT
Hindi,https://ncert.nic.in/pdf/announcement/notices/Circular_58th-Meeting_of-the-General-Council_16-11-2023hi.pdf,,,internal,NCERT
"Notification regarding Constitution of Curricular Area Group: Social Science (including History, Geography, Political Science, Sociology and Psychology).",https://ncert.nic.in/pdf/announcement/notices/Revised_Notification_of_CAG-Social_Science.pdf,,,internal,NCERT
Notice dated 26th September 2023 regarding the farewall function of the following officials.,https://ncert.nic.in/pdf/announcement/notices/campusWelfare/C&W_1171-29-09.pdf,,,internal,NCERT
Diploma Course in Guidance and Counselling (DCGC) – 2024,https://ncert.nic.in/dcgc.php,,,internal,NCERT
Closing of Central Government Offices located in Delhi from 08.09.2023 to 10.09.2023 on the occasion of G-20 Summit in Delhi,https://ncert.nic.in/pdf/Closing_CentralGovernmentOffices_G20.pdf,,,internal,NCERT
International Literacy Week Celebration 2023,https://ncert.nic.in/cncl/pdf/ILW2023.pdf,,,internal,NCERT
Poster competition,https://ncert.nic.in/cncl/pdf/Poster_competition.pdf,,,internal,NCERT
Video competition,https://ncert.nic.in/cncl/pdf/Video_competition.pdf,,,internal,NCERT
"Order regarding the retirement of Prof. Pawan Sudhir, Head, DEAA",https://ncert.nic.in/pdf/announcement/Notice_DEAA_31-07-2023.pdf,,,internal,NCERT
Notification Regarding Constitution of High-Powered Committee - The National Syllabus and Teaching Learning Material Committee (NSTC),https://ncert.nic.in/pdf/notice/Constitution_of_High-Powered_Committee-NSTC.pdf,,,internal,NCERT
Notification Regarding Constitution of National Curriculum Frameworks Oversight Committee (NOC),https://ncert.nic.in/pdf/notice/Constitution_of_National_Curriculum_Frameworks_Oversight_Committee-(NOC).pdf,,,internal,NCERT
Letter Regarding the Celebration of Azadi ka Amrit Mahotsav,https://ncert.nic.in/pdf/notice/AKAM2AUG.pdf,,,internal,NCERT
Order regarding the re-distribution of work of the following Under Secretaries,https://ncert.nic.in/pdf/notice/Order_dated_07-08-2023.pdf,,,internal,NCERT
"Enhancement of Room Tariff/Lodging Charges of NIE Guest House, PG Hostel and Transit Guest House, NCERT",https://ncert.nic.in/pdf/notice/NIEGH_PGH_1383.pdf,,,internal,NCERT
"Applications are invited for Six-month Certificate Programme on developing social science 

s and other curricular materials",https://ncert.nic.in/pdf/Brochure-DESS-06MonthProgramme.pdf,,,internal,NCERT
"Theme, sub-themes and topic for one day seminar for SLSMEE 2023-24",https://ncert.nic.in/desm/pdf/RSBVP-2023_24.pdf,,,internal,NCERT
Circular dated 17-07-2023 regarding CAS,https://ncert.nic.in/pdf/notice/Circular_CAS_17-07.pdf,,,internal,NCERT
Public Notice regarding procurement of Educational School Kits,https://ncert.nic.in/pdf/notice/PublicNotice-DEK.pdf,,,internal,NCERT
Notice regarding the Scholarship of National Talent Search (NTS) Scheme,https://ncert.nic.in/pdf/programmes/NTSE/Notice-NTSScheme_12-06-23.pdf,,,internal,NCERT
Notification of CEE-2023,https://ncert.nic.in/pdf/notice/CEE-2023_Notice_English.pdf,,,internal,NCERT
https://cee.ncert.gov.in,https://cee.ncert.gov.in,,,external,NCERT
"Regarding Extension of deputation period of Prof. Satya Vir Sharma as Principal, RIE, Ajmer",https://ncert.nic.in/pdf/notice/RieAjmerPrincipalExtension.pdf,,,internal,NCERT
Result of Assistant Programme Coordinator(APC) under LDE (As per Revised RRs),https://ncert.nic.in/pdf/announcement/vacancies/nonacademicvacancy/APC_Result.pdf,,,internal,NCERT
Circular dated 02-03-2023 Regarding GPF,https://ncert.nic.in/pdf/announcement/notices/gpfpensionsalary/GPF_option_circular.pdf,,,internal,NCERT
Revised Notification Regarding the Extension of Empanelment of Firm for Supply of NCERT Educational Kit,https://ncert.nic.in/division/dek/pdf/Howtogetkits.pdf,,,internal,NCERT
Manodarpan Psychological Support Services for Students during Annual Examinations,https://ncert.nic.in/pdf/manodarpan/StudentExaminationServices.pdf,,,internal,NCERT
Circular for inviting suggestions in r/o vacant shop/stall lying in the NCERT Campus,https://ncert.nic.in/pdf/notice/Circular_170-200.pdf,,,internal,NCERT
Settlement of advances- Circular,https://ncert.nic.in/pdf/notice/CPA_Circular.pdf,,,internal,NCERT
"Consolidated Marks List of The Examination Held on 6-7 December, 2020 For The Post Of Senior Accountant",https://ncert.nic.in/pdf/announcement/vacancies/nonacademicvacancy/CONSOLIDATED_MARK_SHEET_SR_ACCT.pdf,,,internal,NCERT
Notification Of Result Of Examination Held on 6-7 December 2020 For The Post Of Sr. Accountant,https://ncert.nic.in/pdf/announcement/vacancies/nonacademicvacancy/SR_ACCT_SELECTED_CANDIDATES_LIST.pdf,,,internal,NCERT
Order regarding the re-distribution of work of the following Faculty members,https://ncert.nic.in/pdf/announcement/notices/TransferPostingDeployment/CIET_Order_dt-06-01-2023.pdf,,,internal,NCERT
Order regarding the following faculty members will work as Link-Officers,https://ncert.nic.in/pdf/announcement/notices/TransferPostingDeployment/CIET_Order_dt-06-01-2023_LO.pdf,,,internal,NCERT
Transfer Order dated 09.01.2023,https://ncert.nic.in/pdf/announcement/notices/TransferPostingDeployment/Order09012023_ciet.pdf,,,internal,NCERT
Notification dated 04.01.2023 regarding NIE Guest House,https://ncert.nic.in/pdf/NIE_GuestHouse2474.pdf,,,internal,NCERT
Guidelines for Rashtriya Avishkar Saptah 2022-23 - English,https://ncert.nic.in/pdf/notice/RASGuidlines2022-23_ENG.pdf,,,internal,NCERT
Hindi,https://ncert.nic.in/pdf/notice/RASGuidlines2022-23_HIN.pdf,,,internal,NCERT
Order dated 05.01.2023,https://ncert.nic.in/pdf/announcement/notices/E_CIET_690.pdf,,,internal,NCERT
Order regarding deputation of faculty members in  DEE,https://ncert.nic.in/pdf/announcement/notices/TransferPostingDeployment/OrderDee23Dec.pdf,,,internal,NCERT
"Transfer of Vishal D. Pajankar, Assistant Professor, ESD",https://ncert.nic.in/pdf/announcement/notices/TransferPostingDeployment/order191222_vd.pdf,,,internal,NCERT
Notification regarding enhancement in the age of superannuation of Deputy Librarian and Assistant Librarian,https://ncert.nic.in/pdf/notice/EC_Notification_14Dec22.pdf,,,internal,NCERT
Transfer Orders dated 16.12.2022,https://ncert.nic.in/pdf/announcement/notices/TransferPostingDeployment/OrderE216Dec22Combined.pdf,,,internal,NCERT
Regarding Establishment of PARAKH as a Center within the ESD,https://ncert.nic.in/pdf/notice/Parakh_ESD.pdf,,,internal,NCERT
"Transfer of Smt. Usha, Administrative Officer, NERIE Shillong to CIET-NCERT as Under Secretary",https://ncert.nic.in/pdf/announcement/notices/TransferPostingDeployment/Usha_CIET.pdf,,,internal,NCERT
NOTICE regarding status of Screening of Applications under Advertisement No.172/2022 for filling up vacant academic positions under direct recruitment in NCERT,https://ncert.nic.in/pdf/announcement/vacancies/academicvacancy/Advt_172_R1_SA.pdf,,,internal,NCERT
(Online Portal),https://ncertrec.samarth.edu.in/,,,external,NCERT
Notice dated 17/01/2023,https://ncert.nic.in/pdf/announcement/vacancies/academicvacancy/notice_17-01-2023.pdf,,,internal,NCERT
Result of Selection Test of the Diploma Course in Guidance and Counselling (2023 session),https://ncert.nic.in/pdf/dcgc/DCGC_SelectedCandidate_2023.pdf,,,internal,NCERT
"Order  regarding Promotion of Sh. M P Ram, Section Officer to the post of Under Secretary/Administrative Officer",https://ncert.nic.in/pdf/announcement/notices/TransferPostingDeployment/MpRam.pdf,,,internal,NCERT
"Order  regarding Promotion of Sh. Harish Sapra, APC to the post of Under Secretary/Administrative Officer",https://ncert.nic.in/pdf/announcement/notices/TransferPostingDeployment/harisSapra.pdf,,,internal,NCERT
Guidelines for SLSMEE 2022-23 and 50th RBVP 2023,https://ncert.nic.in/desm/pdf/RBVP_Guidelines_2022-23_Bilingual.pdf,,,internal,NCERT
"Order Regarding Prof. Pratyusa Kumar Mandal, DESS (I/C Secretary) holding the charge of Head, IRD NCERT",https://ncert.nic.in/pdf/announcement/notices/TransferPostingDeployment/order_pk_mandal.pdf,,,internal,NCERT
Maintaining punctuality and office decorum during Office Hours and Lunch Break,https://ncert.nic.in/pdf/notice/office_decorumVLS.pdf,,,internal,NCERT
Circular Regardings the non-availability of officials on the important occasions,https://ncert.nic.in/pdf/notice/riefa_1054.pdf,,,internal,NCERT
Booking of air tickets for official tour on credit basis through Balmer Lawrie & Co. Limited,https://ncert.nic.in/pdf/notice/BookingBalmerLawrieCo.pdf,,,internal,NCERT
Re-organization of Administrative/Establishment Sections of NCERT Hqrts.   ||  Order dated 23.11.2022,https://ncert.nic.in/pdf/notice/NCERT_admin.pdf,,,internal,NCERT
Order dated 23.11.2022,https://ncert.nic.in/pdf/notice/Transfer_23nov22.pdf,,,internal,NCERT
Income Tax deduction from salaries during the financial year 2022-23(Assessment year 2023-24),https://ncert.nic.in/pdf/announcement/notices/gpfpensionsalary/TDS_22.pdf,,,internal,NCERT
Online Diploma in Teaching of Science,https://ncert.nic.in/pdf/FAQ_2022-23.pdf,,,internal,NCERT
"Regarding Pledge on National Unity Day, 31st October, 2022",https://ncert.nic.in/pdf/notice/National_unity_day.pdf,,,internal,NCERT
"Order dated 26.10.2022 regarding the recommendation of DPC, Sh. Ranbir S. Prashar, Proof Reader",https://ncert.nic.in/pdf/notice/Sr_PR_DPC-787.pdf,,,internal,NCERT
"Order dated 20.10.2022 regarding Sh. Krishna Kumar, Under Secretary",https://ncert.nic.in/pdf/notice/E-II_1115.pdf,,,internal,NCERT
"Order dated 14.10.2022 regarding Dr. V.P. Singh, Professor, DESM, NCERT",https://ncert.nic.in/pdf/notice/E-I_1151.pdf,,,internal,NCERT
List of selected Exhibits for participation in RBVP 2022,https://ncert.nic.in/jn-national-science-exhibition.php,,,internal,NCERT
Order Regarding Sh. Vinod Kumar Shringi joining LDD to the post of Professional Assistant,https://ncert.nic.in/pdf/notice/order_vinod_kumar.pdf,,,internal,NCERT
Notice regarding National Talent Search Examination,https://ncert.nic.in/pdf/notice/esd_2235.pdf,,,internal,NCERT
Office Order on leave without permission,https://ncert.nic.in/pdf/notice/EC_6664.pdf,,,internal,NCERT
"Notification Regarding to appoint Dr. Deepak Paliwal as Joint Director in the PSSCIVE, Bhopal",https://ncert.nic.in/pdf/notice/E1_1039.pdf,,,internal,NCERT
"Order Regarding the following faculty members will continue to look after the work of Head of their Department/Division, NCERT",https://ncert.nic.in/pdf/notice/E1_1008.pdf,,,internal,NCERT
Instructions on booking of Air Tickets on Government Account in respect of Leave Travel Concession (LTC),https://ncert.nic.in/pdf/notice/EC_6574.pdf,,,internal,NCERT
"Promotion of Sh. Vinod Kumar Shringi, Semi Professional Assistant to the post of Professional Assistant",https://ncert.nic.in/pdf/announcement/notices/promotions/Promotion_order_vinodDPC631.pdf,,,internal,NCERT
"Appointment of Shri Madan Singh Yadav as Deputy Secreatary, NCTE",https://ncert.nic.in/pdf/ncte_16_09_22.pdf,,,internal,NCERT
"Regarding Assigning Dr. Neel kanth Kumar, Assistant Professor additional charge of Hindi Cell",https://ncert.nic.in/pdf/announcement/notices/TransferPostingDeployment/order_neelkhant467.pdf,,,internal,NCERT
36th Annual Staff Tournament,https://ncert.nic.in/pdf/announcement/notices/campusWelfare/36AnnualStaffTournament.pdf,,,internal,NCERT
Sports Committee,https://ncert.nic.in/pdf/announcement/notices/campusWelfare/Committees36.pdf,,,internal,NCERT
Circular for Optimum use of IT Equipment,https://ncert.nic.in/pdf/announcement/notices/informationtechnology/CRC_IT-Equipment.pdf,,,internal,NCERT
National Seminar on Population Education,https://ncert.nic.in/pdf/seminar_PopulationEducation.pdf,,,internal,NCERT
Circular regarding Air Travel on Government Account,https://ncert.nic.in/pdf/notice/ECC_1342.pdf,,,internal,NCERT
CEE-2022,https://ncert.nic.in/pdf/notice/CEE2022.pdf,,,internal,NCERT
Result,https://ncert.nic.in/pdf/notice/Result_CEE_2022-23.pdf,,,internal,NCERT
Instructions for the disposal of files in a time bound manner,https://ncert.nic.in/pdf/notice/files_disposal.pdf,,,internal,NCERT
Alumni Committee of NIE/RIE( NCERT),https://ncert.nic.in/pdf/alumni_780.pdf,,,internal,NCERT
Regarding providing a copy of the Police Verification Report to the Security Section,https://ncert.nic.in/pdf/police_verification.pdf,,,internal,NCERT
Order dated 01.09.2022 regarding Dean (Research),https://ncert.nic.in/pdf/Dean_research_848.pdf,,,internal,NCERT
"Theme, sub-themes and topic for one day seminar for SLSMEE 2022-23",https://ncert.nic.in/desm/pdf/DESMen_624.pdf,,,internal,NCERT
Help Improve DIKSHA and epathshala by User-Testing,https://ncert.nic.in/pdf/notice_Usertesting.pdf,,,internal,NCERT
"Order regarding Chief Editor, Publication Division",https://ncert.nic.in/pdf/PD_ce.pdf,,,internal,NCERT
Order regarding Under Secretaries dated 05.08.2022,https://ncert.nic.in/pdf/Work_US.pdf,,,internal,NCERT
Order regarding Departmental Promotion Committee (DPC),https://ncert.nic.in/pdf/dpc.pdf,,,internal,NCERT
Circular - Providing Pest Control Treatment in NCERT Campus,https://ncert.nic.in/pdf/circular-1331.pdf,,,internal,NCERT
Observation of punctuality - strict adherence of instrctions,https://ncert.nic.in/pdf/EC-614.pdf,,,internal,NCERT
"Nomination for the Establishment Committee of Election
						Officer, NCERT - Notification dated 27 May 2022 ||  Notification dated 01-06-2022",https://ncert.nic.in/pdf/announcement/notices/ServiceMatter/nomination27may.pdf,,,internal,NCERT
Notification dated 01-06-2022,https://ncert.nic.in/pdf/announcement/notices/ServiceMatter/NotificationEC01.pdf,,,internal,NCERT
Notification dated 09-06-2022,https://ncert.nic.in/pdf/announcement/notices/ServiceMatter/notification-546.pdf,,,internal,NCERT
Details of Empanelled Advocates of NCERT,https://ncert.nic.in/pdf/empanelled_advocates.pdf,,,internal,NCERT
"Nomination for the Establishment Committee of Election
						Officer, NCERT - Notification dated 27 May 2022.",https://ncert.nic.in/pdf/announcement/notices/ServiceMatter/nomination27may.pdf,,,internal,NCERT
"Nomination for the Establishment Committee of Election
						Officer, NCERT - Notice dated 18 May 2022.",https://ncert.nic.in/pdf/announcement/notices/ServiceMatter/NoticeEstablishmentCommittee.pdf,,,internal,NCERT
Election of the staff Representative of Establishment Committee of NCERT,https://ncert.nic.in/pdf/announcement/notices/ServiceMatter/Notification_Election2.pdf,,,internal,NCERT
Notification for the Election of the Representatives of Establishment Committee,https://ncert.nic.in/pdf/announcement/notices/ServiceMatter/Notification_Election1.pdf,,,internal,NCERT
Election of the Establishment Committee of the Council  -,https://ncert.nic.in/pdf/announcement/notices/ServiceMatter/Notification_election.pdf,,,internal,NCERT
Electoral Roll - Academic,https://ncert.nic.in/pdf/announcement/notices/ServiceMatter/ErollAcademicList.pdf,,,internal,NCERT
