text,url,description,parent_section,link_type,page_title
,https://play.google.com/store/apps/details?id=national.digital.library&hl=en,,,external,NCERT
,https://www.amazon.in/ncert,,,external,NCERT
,https://www.youtube.com/watch?v=Z7jg9EXHg0w,,,external,NCERT
,https://journals.ncert.gov.in/,,,external,NCERT
,https://sathee.prutor.ai/,,,external,NCERT
,http://missionlife-moefcc.nic.in/,,,external,NCERT
,https://ncert.nic.in/ict-initiatives.php,,,internal,NCERT
,https://diksha.gov.in/,,,external,NCERT
,https://ciet.nic.in/pages.php?id=pmevidya,,,external,NCERT
,https://ncert.nic.in#slider-animation,,,internal,NCERT
,https://ncert.nic.in#slider-animation,,,internal,NCERT
"(Hospitality, Travel and Tourism)",https://ncert.nic.in/pdf/announcement/vacancies/academicvacancy/Interview_Notice_Schedule_Associate_Professor-Hospitality_Travel&Tourism.pdf,,,internal,NCERT
Download Interview Letter,https://ncertrec.samarth.edu.in/,,,external,NCERT
9th Notice under Advt. No. 174/2024 regarding status of screening of applications for filling up vacant academic positions under direct recruitment,https://ncert.nic.in/pdf/announcement/vacancies/academicvacancy/R-I_Advt-174_Notice9-21-02.pdf,,,internal,NCERT
Result for Word Processing - Typing Test along with schedule for the post of Section Officers & Assistants,https://ncert.nic.in/pdf/announcement/vacancies/nonacademicvacancy/Result_Typing_Test-SO_Assist_20-02.pdf,,,internal,NCERT
Typing Test for the Post of Assistant Under Direct Quota,https://ncert.nic.in/pdf/announcement/vacancies/nonacademicvacancy/Assistant_Under_Direct_Quota_5221-5225_27_11.pdf,,,internal,NCERT
Rationalisation of Textbooks,https://ncert.nic.in/rationalisation-textbook.php,,,internal,NCERT
Visit Site,https://ncert.nic.in/national-institute-education.php,,,internal,NCERT
Locate,"https://maps.google.com/maps?ll=28.539746,77.192893&z=16&t=m&hl=en&gl=IN&mapclient=embed&q=NCERT%20Campus%20Adchini%20New%20Delhi%2C%20Delhi%20110016",,,external,NCERT
Visit Site,https://ciet.nic.in/,,,external,NCERT
Locate,"https://www.google.com/maps/dir/28.5419808,77.2060235/ciet/@28.5403054,77.1916464,15z/data=!3m1!4b1!4m9!4m8!1m1!4e1!1m5!1m1!1s0x390ce2065c7cfa83:0x8262f9426abf8716!2m2!1d77.1951114!2d28.5383307",,,external,NCERT
Visit Site,http://www.psscive.ac.in/,,,external,NCERT
Locate,https://www.google.com/maps/dir//psscive/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x397c42b1925ca64b:0xfc363a04c2b58fe2?sa=X&ved=2ahUKEwilwaXBuKboAhUI4HMBHQa2AjAQ9RcwF3oECBIQDg,,,external,NCERT
Visit Site,http://www.rieajmer.raj.nic.in/Home/HomePage.aspx,,,external,NCERT
Locate,"https://www.google.co.in/maps/place/Regional+Institute+of+Education/@26.4832204,74.6107703,17z/data=!3m1!4b1!4m5!3m4!1s0x396be7977db5f141:0xda619f26b0654261!8m2!3d26.4832156!4d74.612959",,,external,NCERT
Visit Site,http://riebhopal.nic.in/,,,external,NCERT
